Date,Open,High,Low,Close,Adj Close,Volume
2020-1-2,139.7899933,141.1000061,139.2599945,141.0899963,124.2541885,10803700
2020-1-3,137.5,139.2299957,137.0800018,138.3399963,122.6144714,10386800
2020-1-6,136.5599976,138.2700043,136.5,138.2299957,122.5169754,10259000
2020-1-7,137.2799988,137.8600006,135.8200073,135.8800049,120.4341354,10531300
2020-1-8,135.6999969,137.5800018,135.6000061,136.9400024,121.3736496,9695300
2020-1-9,138.0500031,138.2299957,137.0399933,137.4400024,121.8167877,9469000
2020-1-10,137.2100067,137.25,135.8099976,136.0700073,120.6025467,10190900
2020-1-13,136.1900024,137.1999969,135.7599945,137.1999969,121.6040878,12355200
2020-1-14,137.9400024,140.7599945,137.6900024,138.8000031,123.0222168,24906000
2020-1-15,137.8500061,138.6000061,136.1499939,136.7200012,121.1786346,16293400
2020-1-16,137.4499969,137.8999939,136.8399963,137.25,121.648407,10783800
2020-1-17,137.5399933,138.2899933,137.3200073,138.1999969,122.4904251,14697700
2020-1-21,137.1900024,138.0700073,136.6900024,136.8399963,121.284996,8474200
2020-1-22,137.2400055,137.3999939,136.3800049,136.6799927,121.1432037,7549100
2020-1-23,135.7100067,136.7400055,134.7200012,136.5399933,121.0190659,9345700
2020-1-24,136.3699951,136.4299927,132.3200073,133.1499939,118.0144653,15166400
2020-1-27,130.2700043,132.9400024,129.7100067,132.0299988,117.0217743,12860500
2020-1-28,132.8399963,134.9700012,132.4799957,134.4299927,119.1489487,13062800
2020-1-29,134.8099976,135.5399933,133.6900024,134.2299957,118.9717026,9326000
2020-1-30,132.6900024,136.1300049,132.6900024,135.8899994,120.4430008,9048900
2020-1-31,134.4900055,134.8300018,131.4700012,132.3600006,117.3142548,12785200
2020-2-3,132.6600037,134.2400055,132.6600037,133.3699951,118.2094574,10021100
2020-2-4,135.5500031,136.6000061,135.0800018,135.2899933,119.9112091,9157100
2020-2-5,136.5700073,137.7299957,136.0099945,137.5899963,121.9497299,10150700
2020-2-6,138.2400055,138.2899933,137.1100006,137.6100006,121.9674759,8992300
2020-2-7,136.7299957,137.6699982,136.3000031,137.1699982,121.5774689,6379800
2020-2-10,136.9499969,137.8500061,136.75,137.7400055,122.0826874,5960700
2020-2-11,138.2599945,138.8200073,137.7799988,138,122.3131256,6578600
2020-2-12,138.6000061,139.2899933,137.8000031,138,122.3131256,7958000
2020-2-13,137.75,138.3399963,136.3999939,137.8800049,122.2067947,7447500
2020-2-14,137.8399963,138.1900024,136.9400024,137.4600067,121.8345108,6627600
2020-2-18,137.3399963,137.7100067,135.0500031,135.6399994,120.2213898,8996400
2020-2-19,136.9100037,138.3899994,136.3399963,137.4900055,121.8611069,7071200
2020-2-20,137.1699982,138.3600006,136.5299988,137.4900055,121.8611069,7422800
2020-2-21,136.5500031,136.9199982,134.9199982,135.8099976,120.3720779,9772800
2020-2-24,131.4400024,133.1999969,130.8000031,132.1600037,117.1369934,13618400
2020-2-25,131,132.2299957,125.5899963,126.2600021,111.9076614,20797200
2020-2-26,126.9300003,128.9499969,126.3399963,126.6399994,112.2444534,24825600
2020-2-27,122.9100037,125.6200027,121.3000031,121.3700027,107.5735092,23005500
2020-2-28,117.5199966,118.4899979,112.6600037,116.1100006,102.9114227,45931400
2020-3-2,116.6299973,121.5800018,114.4599991,121.5199966,107.7064667,27355400
2020-3-3,120.9700012,122.9499969,116.2399979,116.9599991,103.6648178,32547700
2020-3-4,118.3300018,120.1900024,114.6999969,119.8499985,106.2263107,25795900
2020-3-5,115.6699982,116.4300003,112.5800018,113.9700012,101.0146942,25025600
2020-3-6,106.2600021,110.3199997,105.0199966,108.0800018,95.79425049,38159400
2020-3-9,96.56999969,99.23000336,93,93.44000244,82.81840515,40352000
2020-3-10,99,101.2799988,94.58000183,100.6999969,89.25315094,31102700
2020-3-11,97.69999695,100.0500031,94.55000305,95.95999908,85.05195618,38127000
2020-3-12,89.58999634,96.95999908,86.31999969,88.05000305,78.04109192,49725200
